CaseBarcode,CorepackBarcode,OrderId,RequestDate,Core Pack check,Result_DAQ,CH8_V,CH9_V,CH10_V,CH11_V,CH12_V,TempMaxThr,TempMinThr,VoltDiffThr,VoltMaxThr,VoltMinThr,Result_ETEST,ACIR,DCIR,OCVoltage,Ah,PackageTime
FR07254000043,7254000043,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.498,3.499,3.499,35,15,0.005,4.2,3,PASS,0.031,0.051,17.49,5.84,2025/12/22 11:49:10
FR07254000044,7254000044,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.03,0.056,17.49,5.85,2025/12/23 17:22:23
FR07254000045,7254000045,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.5,35,15,0.005,4.2,3,PASS,0.029,0.058,17.49,5.84,2025/12/16 10:42:28
FR07254000046,7254000046,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.498,3.499,3.499,35,15,0.005,4.2,3,PASS,0.033,0.057,17.49,5.84,2025/12/24 12:58:45
FR07254000047,7254000047,5112-20250923001,2025/12/31,PASS,PASS,3.496,3.5,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.052,17.5,5.83,2025/12/24 14:04:28
FR07254000048,7254000048,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.497,3.497,3.497,3.497,35,15,0.005,4.2,3,PASS,0.028,0.05,17.49,5.85,2025/12/17 09:49:47
FR07254000049,7254000049,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.497,3.498,3.498,3.498,35,15,0.005,4.2,3,PASS,0.028,0.052,17.49,5.84,2025/12/30 10:56:31
FR07254000050,7254000050,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.499,3.499,3.499,3.5,35,15,0.005,4.2,3,PASS,0.028,0.058,17.47,5.84,2025/12/03 14:21:05
FR07254000051,7254000051,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.498,3.497,3.497,3.499,35,15,0.005,4.2,3,PASS,0.028,0.052,17.48,5.85,2025/12/24 17:10:34
FR07254000052,7254000052,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.499,3.498,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.85,2025/12/10 17:05:17
FR07254000053,7254000053,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.497,3.498,3.498,3.497,35,15,0.005,4.2,3,PASS,0.028,0.05,17.49,5.88,2025/12/01 11:35:02
FR07254000054,7254000054,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.028,0.054,17.5,5.84,2025/12/09 16:04:44
FR07254000055,7254000055,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.85,2025/12/16 16:29:49
FR07254000056,7254000056,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.497,3.497,3.497,35,15,0.005,4.2,3,PASS,0.028,0.05,17.49,5.84,2025/12/03 14:55:52
FR07254000057,7254000057,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.84,2025/12/18 11:05:27
FR07254000058,7254000058,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.5,3.501,3.5,3.501,35,15,0.005,4.2,3,PASS,0.028,0.051,17.5,5.85,2025/12/08 15:06:48
FR07254000059,7254000059,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.499,3.499,3.498,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.85,2025/12/16 17:26:12
FR07254000060,7254000060,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.5,3.5,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.051,17.49,5.88,2025/12/18 15:54:03
FR07254000061,7254000061,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.5,3.499,3.5,3.499,35,15,0.005,4.2,3,PASS,0.028,0.056,17.49,5.84,2025/12/01 11:50:23
FR07254000062,7254000062,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.498,3.498,3.498,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.85,2025/12/04 16:41:36
FR07254000063,7254000063,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.498,35,15,0.005,4.2,3,PASS,0.028,0.057,17.49,5.84,2025/12/08 13:16:50
FR07254000064,7254000064,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.5,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.054,17.48,5.84,2025/12/18 16:17:08
FR07254000065,7254000065,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.498,3.499,3.498,35,15,0.005,4.2,3,PASS,0.028,0.052,17.49,5.84,2025/12/05 11:42:55
FR07254000066,7254000066,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.497,3.498,3.499,35,15,0.005,4.2,3,PASS,0.028,0.051,17.49,5.84,2025/12/12 15:18:56
FR07254000067,7254000067,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.498,35,15,0.005,4.2,3,PASS,0.028,0.052,17.49,5.85,2025/12/05 16:07:26
FR07254000068,7254000068,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.497,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.052,17.49,5.84,2025/12/04 12:48:43
FR07254000069,7254000069,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.497,3.499,3.498,3.498,35,15,0.005,4.2,3,PASS,0.028,0.052,17.48,5.84,2025/12/29 13:21:12
FR07254000070,7254000081,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.5,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.83,2025/12/26 11:47:01
FR07254000071,7254000082,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.5,3.499,3.5,35,15,0.005,4.2,3,PASS,0.028,0.052,17.49,5.85,2025/12/10 09:34:18
FR07254000072,7254000083,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.498,3.498,3.499,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.84,2025/12/24 10:04:51
FR07254000073,7254000084,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.498,3.499,3.498,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.84,2025/12/09 10:29:21
FR07254000074,7254000085,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.054,17.49,5.85,2025/12/16 12:10:04
FR07254000075,7254000086,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.498,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.052,17.5,5.85,2025/12/03 11:02:14
FR07254000076,7254000087,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.499,3.498,3.499,35,15,0.005,4.2,3,PASS,0.028,0.051,17.48,5.88,2025/12/29 10:59:17
FR07254000077,7254000088,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.499,3.5,3.498,35,15,0.005,4.2,3,PASS,0.028,0.052,17.49,5.84,2025/12/01 11:29:46
FR07254000078,7254000089,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.498,3.5,35,15,0.005,4.2,3,PASS,0.028,0.051,17.49,5.85,2025/12/04 12:42:47
FR07254000079,7254000090,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.052,17.49,5.84,2025/12/15 17:11:04
FR07254000080,7254000070,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.498,3.5,3.499,35,15,0.005,4.2,3,PASS,0.028,0.058,17.47,5.84,2025/12/16 11:15:21
FR07254000081,7254000071,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.052,17.48,5.84,2025/12/22 12:46:43
FR07254000082,7254000072,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.85,2025/12/19 15:02:28
FR07254000083,7254000073,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.05,17.49,5.85,2025/12/08 17:02:23
FR07254000084,7254000074,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.5,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.054,17.5,5.88,2025/12/19 12:28:45
FR07254000085,7254000075,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.498,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.84,2025/12/09 15:35:00
FR07254000086,7254000076,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.05,17.49,5.85,2025/12/04 16:54:07
FR07254000087,7254000077,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.5,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.84,2025/12/02 10:25:48
FR07254000088,7254000078,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.498,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.051,17.5,5.84,2025/12/15 11:35:46
FR07254000089,7254000079,5112-20250923001,2025/12/31,PASS,PASS,3.496,3.5,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.85,2025/12/22 12:32:58
FR07254000090,7254000080,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.497,3.497,3.497,3.497,35,15,0.005,4.2,3,PASS,0.028,0.051,17.49,5.84,2025/12/22 09:46:43
FR07254000091,7254000091,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.497,3.498,3.498,3.498,35,15,0.005,4.2,3,PASS,0.028,0.056,17.49,5.85,2025/12/17 17:16:57
FR07254000092,7254000092,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.499,3.499,3.499,3.5,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.84,2025/12/24 14:13:29
FR07254000093,7254000093,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.498,3.497,3.497,3.499,35,15,0.005,4.2,3,PASS,0.028,0.057,17.49,5.85,2025/12/15 09:55:23
FR07254000094,7254000094,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.499,3.498,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.054,17.48,5.84,2025/12/23 14:27:18
FR07254000095,7254000095,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.497,3.498,3.498,3.497,35,15,0.005,4.2,3,PASS,0.028,0.052,17.49,5.84,2025/12/05 15:29:39
FR07254000096,7254000096,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.497,3.498,3.499,35,15,0.005,4.2,3,PASS,0.028,0.051,17.49,5.84,2025/12/22 13:04:51
FR07254000097,7254000097,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.498,35,15,0.005,4.2,3,PASS,0.028,0.052,17.49,5.85,2025/12/11 16:25:46
FR07254000098,7254000098,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.497,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.052,17.49,5.85,2025/12/18 16:15:05
FR07254000099,7254000099,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.497,3.499,3.498,3.498,35,15,0.005,4.2,3,PASS,0.028,0.052,17.48,5.85,2025/12/05 12:12:27
FR07254000100,7254000100,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.5,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.85,2025/12/08 15:04:13
FR07254000101,7254000101,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.5,3.499,3.5,35,15,0.005,4.2,3,PASS,0.028,0.052,17.49,5.88,2025/12/08 11:27:19
FR07254000102,7254000102,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.498,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.84,2025/12/30 11:04:09
FR07254000103,7254000103,5112-20250923001,2025/12/31,PASS,PASS,3.496,3.5,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.85,2025/12/23 11:51:05
FR07254000104,7254000104,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.497,3.497,3.497,3.497,35,15,0.005,4.2,3,PASS,0.028,0.054,17.49,5.84,2025/12/10 14:27:14
FR07254000105,7254000105,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.497,3.498,3.498,3.498,35,15,0.005,4.2,3,PASS,0.028,0.052,17.5,5.84,2025/12/24 11:07:58
FR07254000106,7254000106,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.499,3.499,3.499,3.5,35,15,0.005,4.2,3,PASS,0.028,0.051,17.48,5.85,2025/12/15 17:28:18
FR07254000107,7254000107,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.498,3.497,3.497,3.499,35,15,0.005,4.2,3,PASS,0.028,0.052,17.49,5.84,2025/12/22 09:39:18
FR07254000108,7254000108,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.499,3.498,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.051,17.49,5.84,2025/12/29 17:03:24
FR07254000109,7254000109,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.497,3.498,3.498,3.497,35,15,0.005,4.2,3,PASS,0.028,0.054,17.49,5.83,2025/12/15 17:17:43
FR07254000110,7254000110,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.85,2025/12/17 09:57:09
FR07254000111,7254000211,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.054,17.49,5.84,2025/12/05 10:44:07
FR07254000112,7254000212,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.497,3.497,3.497,35,15,0.005,4.2,3,PASS,0.028,0.052,17.49,5.84,2025/12/01 13:40:58
FR07254000113,7254000213,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.052,17.47,5.85,2025/12/15 16:01:32
FR07254000114,7254000214,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.5,3.501,3.5,3.501,35,15,0.005,4.2,3,PASS,0.028,0.055,17.48,5.85,2025/12/15 17:18:41
FR07254000115,7254000215,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.499,3.499,3.498,35,15,0.005,4.2,3,PASS,0.028,0.056,17.49,5.88,2025/12/03 16:05:55
FR07254000116,7254000216,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.5,3.5,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.056,17.49,5.84,2025/12/02 10:23:33
FR07254000117,7254000217,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.5,3.499,3.5,3.499,35,15,0.005,4.2,3,PASS,0.028,0.059,17.49,5.85,2025/12/10 17:08:35
FR07254000118,7254000218,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.498,3.498,3.498,35,15,0.005,4.2,3,PASS,0.028,0.052,17.49,5.84,2025/12/03 17:26:13
FR07254000119,7254000219,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.498,35,15,0.005,4.2,3,PASS,0.028,0.051,17.49,5.84,2025/12/03 15:08:40
FR07254000120,7254000220,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.5,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.056,17.49,5.85,2025/12/02 16:47:42
FR07254000121,7254000221,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.498,3.499,3.498,35,15,0.005,4.2,3,PASS,0.028,0.058,17.49,5.85,2025/12/22 11:06:14
FR07254000122,7254000222,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.497,3.498,3.499,35,15,0.005,4.2,3,PASS,0.028,0.057,17.49,5.88,2025/12/29 11:30:11
FR07254000123,7254000223,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.498,35,15,0.005,4.2,3,PASS,0.028,0.052,17.5,5.84,2025/12/17 12:00:25
FR07254000124,7254000224,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.497,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.05,17.49,5.85,2025/12/04 15:00:52
FR07254000125,7254000225,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.497,3.499,3.498,3.498,35,15,0.005,4.2,3,PASS,0.028,0.052,17.49,5.85,2025/12/30 11:03:50
FR07254000126,7254000226,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.5,35,15,0.005,4.2,3,PASS,0.028,0.058,17.47,5.88,2025/12/16 13:54:31
FR07254000127,7254000227,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.5,3.499,3.5,35,15,0.005,4.2,3,PASS,0.028,0.052,17.48,5.84,2025/12/10 11:37:30
FR07254000128,7254000228,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.498,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.85,2025/12/11 11:02:40
FR07254000129,7254000229,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.5,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.05,17.49,5.84,2025/12/24 10:37:06
FR07254000130,7254000230,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.498,3.499,3.498,35,15,0.005,4.2,3,PASS,0.028,0.054,17.5,5.84,2025/12/02 17:12:55
FR07254000131,7254000231,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.497,3.498,3.499,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.85,2025/12/29 12:55:04
FR07254000132,7254000232,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.498,35,15,0.005,4.2,3,PASS,0.028,0.05,17.49,5.85,2025/12/30 16:31:42
FR07254000133,7254000233,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.497,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.054,17.5,5.88,2025/12/09 12:18:48
FR07254000134,7254000234,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.497,3.499,3.498,3.498,35,15,0.005,4.2,3,PASS,0.028,0.053,17.49,5.84,2025/12/05 10:55:21
